rowid,pl_hostname,pl_letter,pl_discmethod,pl_pnum,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxlim,pl_orbeccen,pl_orbeccenerr1,pl_orbeccenerr2,pl_orbeccenlim,pl_massj,pl_massjerr1,pl_massjerr2,pl_massjlim,pl_msinij,pl_msinijerr1,pl_msinijerr2,pl_msinijlim,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjlim,pl_dens,pl_denserr1,pl_denserr2,pl_denslim,pl_orbincl,pl_orbinclerr1,pl_orbinclerr2,pl_orbincllim,pl_ttvflag,pl_kepflag,st_dist,st_disterr1,st_disterr2,st_distlim,st_vj,st_vjerr,st_vjlim,st_vjblend,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_teffblend,st_mass,st_masserr1,st_masserr2,st_masslim,st_massblend,st_rad,st_raderr1,st_raderr2,st_radlim,st_radblend,hd_name,hip_name
1,11 Com,b,Radial Velocity,1,326.03000000,0.32000000,-0.32000000,0,1.290000,0.050000,-0.050000,0,0.231000,0.005000,-0.005000,0,,,,,19.40000,1.50000,-1.50000,0,,,,,,,,,,,,,0,0,110.62,9.61,-11.63,0,4.740,,0,0,4742.00,100.00,-100.00,0,0,2.7000,0.3000,-0.3000,0,0,19.00,2.00,-2.00,0,0,HD 107383,HIP 60202
2,11 UMi,b,Radial Velocity,1,516.22000000,3.25000000,-3.25000000,0,1.540000,0.070000,-0.070000,0,0.080000,0.030000,-0.030000,0,,,,,10.50000,2.47000,-2.47000,0,,,,,,,,,,,,,0,0,119.47,6.22,-6.95,0,5.016,0.009,0,0,4340.00,70.00,-70.00,0,0,1.8000,0.2500,-0.2500,0,0,24.08,1.84,-1.84,0,0,HD 136726,HIP 74793
3,14 And,b,Radial Velocity,1,185.84000000,0.23000000,-0.23000000,0,0.830000,,,0,0.000000,,,0,,,,,4.80000,,,0,,,,,,,,,,,,,0,0,76.39,3.93,-4.38,0,,,,,4813.00,20.00,-20.00,0,0,2.2000,0.1000,-0.2000,0,0,11.00,1.00,-1.00,0,0,HD 221345,HIP 116076
4,14 Her,b,Radial Velocity,1,1773.40000000,2.50000000,-2.50000000,0,2.770000,0.050000,-0.050000,0,0.369000,0.005000,-0.005000,0,,,,,4.64000,0.19000,-0.19000,0,,,,,,,,,,,,,0,0,18.15,0.19,-0.20,0,6.610,0.020,0,0,5311.00,87.00,-87.00,0,0,0.9000,0.0500,-0.0500,0,0,,,,,0,HD 145675,HIP 79248
5,16 Cyg B,b,Radial Velocity,1,798.50000000,1.00000000,-1.00000000,0,1.681000,0.097000,-0.097000,0,0.681000,0.017000,-0.017000,0,1.68000,0.15000,-0.15000,0,,,,,,,,,,,,,,,,,0,0,21.41,0.23,-0.23,0,6.250,,0,0,5674.00,,,0,0,0.9900,,,0,0,,,,,0,HD 186427,HIP 96901
6,18 Del,b,Radial Velocity,1,993.30000000,3.20000000,-3.20000000,0,2.600000,,,0,0.080000,0.010000,-0.010000,0,,,,,10.30000,,,0,,,,,,,,,,,,,0,0,73.10,3.56,-3.94,0,,,,,4979.00,18.00,-18.00,0,0,2.3000,,,0,0,8.50,,,0,0,HD 199665,HIP 103527
7,1RXS J160929.1-210524,b,Imaging,1,,,,,330.000000,,,0,,,,,8.00000,1.00000,-1.00000,0,,,,,,,,,,,,,,,,,0,0,145.00,14.00,-14.00,0,,,,,4060.00,300.00,-200.00,0,0,0.8500,0.2000,-0.1000,0,0,,,,,0,,
